Tweet,Annotation,Guideline
RT @mindales: BTS Stranger Things AU poster concept @BTS_twt https://t.co/LytZhKkAbr,Not Humorous,"""Trivia, facts, news headlines"""
RT @DEvansThe2nd: Kuz is that one freshman who's kicking it with the seniors. 😂 https://t.co/iNgoj3bYNG,Humorous,"""A tweet containing a 😂 or similar emoji, acronyms like lol, lmao, rofl are most likely humorous"""
RT @ExAmish101: I was Amish and was sexually abused for 6 mo by the bishop of my church before finally going to the police. Strict churches…,Not Humorous,"""Statements that make absolutely no attempt at humour."""
My son look like he sell stogies 3 dollars a pack,Humorous,"Unsure - ""Tweets that are sarcastic or making fun of things, even possibly a bit offensive.""?"
I've come to the conclusion that I might be a Service Verse. https://t.co/8nCRnuNHLS,Unsure,Don't understand
careful where you plant them seeds before you water them 🌱,Not Humorous,"""Statements that make absolutely no attempt at humour"""
RT @nutitty: Starting to get more tan yessss https://t.co/dJvDI1E9MW,Not Humorous,"""Statements that make absolutely no attempt at humour"""
"RT @xoShaaan: SIR JOHN Lion King Makeup Collection 🦁 Review, Lip Swatches &amp; Tutorial https://t.co/A5Jzj8QtdF https://t.co/JyDdTPnBF7",Not Humorous,"""Trivia, facts, news headlines"""
RT @AwwwwCats: what a cutesy little M you have on your forehead https://t.co/Y5lRXtHBb0,Unsure,Don't understand
@laurendesylva @AriMelber ha! good try.,Humorous,"""A tweet containing a 😂 or similar emoji, acronyms like lol, lmao, rofl are most likely humorous"""
RT @Ogcool3108: Lord the weed you put on earth for us they out here drug testing us for it  😭😤,Not Humorous,"""Statements that make absolutely no attempt at humour"""
@VaughnChadell You ready sis🙃❤️,Unsure,Depends on context
RT @imseokchoo: please rt this to save a life  https://t.co/c59EEwtdBf,Not Humorous,"""Statements that make absolutely no attempt at humour"""
RT @brumedot: happiness blooms from within   :-)   #PunBNK48 #JennisBNK48 #BNK48  #HBDGrabTH https://t.co/wQG2Sk4Jrm,Not Humorous,"""Statements that make absolutely no attempt at humour"""
RT @kouotsu: lasty blep https://t.co/vXOhbvnqFc,Unsure,
RT @bts_bighit: [#오늘의방탄] BTS with The Voice @NBCTheVoice!💜 #BTSonTheVoice🎶#BTS https://t.co/U7bjMnaWLb,Not Humorous,"""Trivia, facts, news headlines"""
"RT @kaciijolynn: a big heart and a great personality is so attractive, looks are just a plus 😫",Unsure,"""Trivia, facts, news headlines"" or ""Tweets that are sarcastic or making fun of things, even possibly a bit offensive."""
"RT @ana__limaa: If you could turn any book into a movie, what would you pick and who would be the actors? — A seleção pfvr e eu não me impo…",Not Humorous,"""Statements that make absolutely no attempt at humour"""
"RT @usminority: FULL INTERVIEW HERE: https://t.co/oGDf834WLK  The left has determined it is an act of hate to tell black &amp; brown ppl, LGBT,…",Not Humorous,"""Trivia, facts, news headlines"""
RT @allmaag: This is the real definition of a fat ass and a thick woman. And it’s all REAL. Ima go cry now https://t.co/MxXX5dGlkJ,Unsure,
as foretold by the podcast,Not Humorous,"""Statements that make absolutely no attempt at humour"""
RT @GemmaaGibbss: Amy Hart’s best bits  #LoveIsIand https://t.co/Ek7ANQqLfD,Not Humorous,"""Statements that make absolutely no attempt at humour"""
@nonsuspendedana thank god,Not Humorous,"""Statements that make absolutely no attempt at humour"""
RT @_princessmagggs: Honestly I wanna be successful already so I can get pregnant lmao,Humorous,"""A tweet containing a 😂 or similar emoji, acronyms like lol, lmao, rofl are most likely humorous"""
RT @__erebus: Old news from 2016; Shahzib Ehsan an assistant professor at LUMS was picked by security agencies as he was leaving the campus…,Not Humorous,"""Trivia, facts, news headlines"""
I’m so happy I’m in mother sea AND share the world AUAUAUAGG,Unsure,Don't understand
RT @raniarchanahu: Uffff Feels good deep throat with other's rather then hubby https://t.co/AnjZXLmEOP,Unsure,
@LadyJordii @RoyaleDemi @nightbarbie @LeahAshe @cybernova @Keisyooo So cute!,Not Humorous,"""Statements that make absolutely no attempt at humour"""
