id,tweet,label
0,<user>: BTS Stranger Things AU poster concept <user> <url>,1
1,<user>: Kuz is that one freshman who's kicking it with the seniors. 😂 <url>,0
2,<user>: I was Amish and was sexually abused for 6 mo by the bishop of my church before finally going to the police. Strict churches…,1
3,My son look like he sell stogies 3 dollars a pack,0
4,I've come to the conclusion that I might be a Service Verse. <url>,1
5,careful where you plant them seeds before you water them 🌱,1
6,<user>: Starting to get more tan yessss <url>,1
7,"<user>: SIR JOHN Lion King Makeup Collection 🦁 Review, Lip Swatches &amp; Tutorial <url> <url>",1
8,<user>: what a cutesy little M you have on your forehead <url>,0
9,<user> <user> ha! good try.,0
10,<user>: Lord the weed you put on earth for us they out here drug testing us for it  😭😤,0
11,<user> You ready sis🙃❤️,1
12,<user>: please rt this to save a life  <url>,1
13,<user>: happiness blooms from within   :-)   #PunBNK48 #JennisBNK48 #BNK48  #HBDGrabTH <url>,1
14,<user>: lasty blep <url>,0
15,<user>: [#오늘의방탄] BTS with The Voice <user>!💜 #BTSonTheVoice🎶#BTS <url>,1
16,"<user>: a big heart and a great personality is so attractive, looks are just a plus 😫",1
17,"<user>: If you could turn any book into a movie, what would you pick and who would be the actors? — A seleção pfvr e eu não me impo…",1
18,"<user>: FULL INTERVIEW HERE: <url>  The left has determined it is an act of hate to tell black &amp; brown ppl, LGBT,…",1
19,<user>: This is the real definition of a fat ass and a thick woman. And it’s all REAL. Ima go cry now <url>,0
20,as foretold by the podcast,1
21,<user>: Amy Hart’s best bits  #LoveIsIand <url>,1
22,<user> thank god,1
23,<user>: Honestly I wanna be successful already so I can get pregnant lmao,0
24,<user>: Old news from 2016; Shahzib Ehsan an assistant professor at LUMS was picked by security agencies as he was leaving the campus…,1
25,I’m so happy I’m in mother sea AND share the world AUAUAUAGG,0
26,<user>: Uffff Feels good deep throat with other's rather then hubby <url>,1
27,<user> <user> <user> <user> <user> <user> So cute!,1
28,<user>: im confused....just go to your local marine base???? looks like an typical marine <url>,1
29,<user>: Don’t put no Avery Bradley highlight reel from 2 years ago on my TL,1
30,"<user>: <user> Will you put the end for the long suffering of Iraqi asylum seekers and refugees in the host countries,AND, g…",1
31,<user>: [Exclusive/Unconfirmed] <user> will continue its stadium tour in Seoul in late October at Jamail Olympic Stadium. The…,1
32,<user>: Don’t skip leg day girls!🧡 <url>,1
33,Id love to be tonguing your ass !,1
34,<user>: Retweet for goodluck ✨ <url>,1
35,<user>: Alexander Breck  Photographed by Frank Marando <url>,1
36,Arby's date with babe too end our long break from hell. Back to the grind tomorrow! 🤷,0
37,<user>: LETS DO IT AGAIN #Blacktwitter 👸🏾🤴🏾👸🏾🤴🏾👸🏾🤴🏾  IF YOU’RE A BLACKTWITTER FAN 🗣🗣🗣🗣 LIKE &amp; RETWEET THIS !!!!!!!! I USED TO HAVE 0…,1
38,"<user> I call what I wear to work my costume, because it isn’t who I am at all.",0
39,"<user> Lucky bastard, hope he appreciates what he’s got",0
40,<user> You and Mike enjoy Amy Schumer comedy specials,1
41,<user>: Wishing our man <user> a big happy birthday! <url>,1
42,"<user>: Msg to LGBT community  ""I hope we can make a better place together, for everybody, for all equal rights."" - svt vernon",1
43,<user>: My #TeenChoice for #ChoiceSummerTour is BLACKPINK IN YOUR AREA <user> . <url>,1
44,<user> agony,1
45,<user>: <user> <user> Four My #TeenChoice for #ChoiceSummerGroup is <user>,1
46,"[80's Edition] Saturday, July 13th, Join Me And A Few Other Dopeee Artists Celebrate The Release Of <user> &amp;… <url>",1
47,<user>: I feel like turnin up😂,0
48,"<user>: ""greets a fan"" is now my favorite euphemism <url>",0
49,London stabbing - man in 30s rushed to hospital after ANOTHER stabbing attack as knife crime wave continues <url>,1
50,<user>: just found out sometimes girls cry themselves to sleep at night <url>,1
51,"<user>: Even after 14 years of career, Chris Brown got gold on his last two albums in just one week. 🏆 <url>",1
52,Good morning! 🌻🌻,1
53,"Hello! You. ✋🏼 Stop scrolling for just a sec... I want to know, how are you? Like really! In an ideal world I’d be… <url>",1
54,"<user>: Please share this, and maybe commission me if you can. Thank you! <url>",1
55,Let's get started!,1
56,Bummer. Car overheated during 3rd session. Either water pump or thermostat failed. $$$ tow to mechanics right now.,1
57,"<user>: ""I Choose You!"" &amp; ""Everyone's Story"" artist:  Yoshitaka Shinomiya (四宮義俊)  ""Mewtwo Strikes Back Evolution"" artist: Hiji…",1
58,<user> 🤣🤣🤣 BITCH,0
59,<user>: Crott <url>,1
60,<user>: They forced him to drink gasoline then burned him to death yet some still think israel is peaceful. Fuck y’all <url>…,1
61,"<user>: <user> Cy Vance also needs to spend some time in prison.  But we already knew that, after his cave-in to Marc Kasow…",1
62,<user>: Kevin Spacey Assault Case May Be Tossed After Accuser Takes The Fifth Over Deleted Phone Data <url> https:/…,1
63,<user>: I really don’t want people that don’t want better for themselves in my life or around me anymore,1
64,<user>: How can you remain calm when it seems like you're facing an insurmountable challenge? <user> has the answer https://t…,1
65,"<user>: But since I have your attention, there are a remarkable number of people who think it’s fine to break glass in the woods. Mos…",1
66,<user> Fuck em,1
67,<user> ARE YOU JOKING THAT HUMY EARS. ID HATE LIVING NEAR THAT PARK,0
68,<user> So Kurt Cobain's band is Kurt Cobain for jocks. Aight,0
69,Ah yes...that’s the photo I was recalling...sure looks like “a” island...but is it “the” island?  Maybe he can prov… <url>,1
70,<user>: Today at the happiest place on earth. <url>,1
71,<user>: <user> Cy Vance is the same DA that refused to bring charges of real estate fraud against Ivanka and Don Jr ove…,1
72,"I messed up the inventory, still some steam shovel hats left. I’m not good at math",0
73,<user>: Bro it’s fucking insane how dudes born in 2000 are now professional athletes. I remember having Pokémon card battles in K…,0
74,"<user> I think people are way too hard on this movie.  I mean, the shark jumped out of the water, stood o… <url>",0
75,And here we go <url>,1
76,<user>: The way they can't reach each other💔 <url>,1
77,"<user> ""Roman?""",1
78,<user>: <user> <user> <user> Thank you President Trump for Keeping America Safe 🇺🇸,1
79,"<user>: If we flop w the voting this time when it’s an ACTUAL CATEGORY WE’RE NOMINATED UNDER, imma be pressed  Ik I’m a super small a…",1
80,<user> <user> Sorry can't listen won't stay connected don't like them a whole lot a few but,1
81,<user>: My favourite team of all time. I only have to decide the coach. Maybe will be Zlatan <url>,1
82,<user> i remember abt this one guy who posted ********* **** gifs all the time,1
83,<user>: Stop holding onto people that didn’t appreciate you when they had you,1
84,"Houndour Lvl 35 cp 1146 iv 100 -33.400138,-70.592633",1
85,<user>: her: I like guys that are 6 feet😍😍  me: *looking down at my 2 feet* shit,0
86,"About #marketing, #sales, #communication: <url>",1
87,"<user>: Our new cycling infrastructure, including protected bike lanes, has meant more Londoners are using bicycles to get aroun…",1
88,Today has been a mentally draining ass day😴,0
89,Florida’s Utilities Keep Homeowners From Making the Most of Solar Power <url>,1
90,<user> @: ☆☆☆☆☆ layout: ☆☆☆☆☆ bio: ☆☆☆☆☆ pinned: ☆☆☆☆☆,1
91,<user> <user> <user> Back across the pond for this one.,1
92,<user> Skills alone isn't a guarantee for success.. You think Messi and Ronaldo dwell  and thrive only on nat… <url>,1
93,There’s been people in my DMs asking me about wholesaling and I put my ego aside and tell folks that I’m new and fr… <url>,1
94,<user> Nappy Hut Savannah it’s beside the school,1
95,<user>: I’m still young but I’m ready to have it ALL together 😭,0
96,Do I wanna have sex with my girls mother or my girl when she gets older?... hmm,0
97,Heat damage is such a scary thing. I don’t ever want to experience it. I avoid straighteners &amp; hairdryers like the plague 😂😭,0
98,There's an Adelaide link to the Home Run Derby!  <user> 3B coach Dino Ebel was an import for the Adelaide Giants… <url>,1
99,<user>: Agree or Disagree? <url>,1
100,<user>: THEY PLAYED THE WRONG SONG FOR THE NATIONAL ANTHEM I- <url>,0
101,"<user>: This week's top 5 on the #WorldDigitalSongSales chart:  1. <user> ""Heartbeat"" (debut) 2. <user> ""Lights"" (debut) 3…",1
102,<user>: Don't sleep on retweeting this to vote for <user>'s When We All Fall Asleep Tour for #ChoiceSummerTour! 💤 #TeenCh…,1
103,"<user>: REMINDER: in under 24 hours, the Trump Administration will head to court to overturn the Affordable Care Act and   ❌  Strik…",1
104,u know you're coping up with depression too well when you're doing your kilay too strong. leggo kick some negativit… <url>,1
105,<user> Gotta find me some Home Depot.,0
106,<user>: I'm sure lalayag ulit to pero it'll be blue na !  Can't wait💙     <user> <user> <user> #BringBackKAORI…,1
107,"<user>: If you've never known what a healthy relationship is, you may subconciously try to create chaos because you feel ""bored""…",1
108,<user>: To gather stars  1. Go to events   2. Scroll to the bottom until you find the star  3. Click the star and you are given…,1
109,How the fuck do you have an elimination mixed tag without intergender? #wwe #RAW,1
110,"<user> i.... LOVE THIS.......... my horse girl, warrior stan heart is so full 💓😭",1
111,<user>: I'm live everyone &lt;3 Come check me out on mixer at  <url> <user> <user> <user> <user>…,1
112,<user>: Love this. ❤️   Parents: don’t abandon your kids.  It’s heartbreaking.  #Pride2019 <url>,1
113,"<user> I don't really care if anyone likes or dislikes our country. I love it, but that's the beauty of our country.",1
114,<user>: look at her face 😂😭 this is toddlers when you ask them what’s in their mouth. <url>,0
115,<user>: Me at work acting fake busy for the last 30 minutes of my shift <url>,0
116,<user>: This is how you market a bra. This is a STRAPLESS BRA she is doing a cartwheel in people. This company goes up to a K cup.…,0
117,"<user>: In Singapore, they let you drown in anything. Debts, depression, stress, bedok reservoir etc. <url>",0
118,I feel like crying. It's ok tho,1
119,Finally finished stranger things and I'm just fucking !!!!!!!! UGH,1
120,I swear I accept one friend request on fb then 20 randoms add me,0
121,<user>: maya hawke                  uma thurman stranger things            in kill bill vol. 1 (2019)…,1
122,"<user>: Want to win tickets to see <user> perform in Los Angeles Saturday, July 27th at <user>?   and follow us to…",1
123,<user>: This is the best thing I've ever done in my life <url>,1
124,They cant,1
125,<user> I'm really excited I used to watch Digimon in my youth and this game looked so good on PS4. Here's hoping I'… <url>,1
126,There will be detailed guides for the Yeezy Lundmark drop. We will provide all the information you need to have the… <url>,1
127,"Twitter gay: you guys only like me when I’m shirtless   Same twitter gay: ONLY posts shirtless pictures and nothing else???,",0
128,<user> what are you drinking tonight my man,1
129,<user>: i just fall in love picture by picture <url>,1
130,<user>: *Urgent Blood Required*  Patient Name : *Dileep Kumar Tripathi* Blood Group required : *B+ Positive* Location &amp; Hospital…,1
131,"Don McLean - The meaning of American Pie (UPDATE) <url> via <user>  DON MCLEAN'S SONG ""AMERICAN… <url>",1
132,"<user>: yoongi: i’m small but knowing  soobin: you don't know what the top shelf looks like, hyung  yoongi:  soobin:  yoongi: ho…",0
133,<user>: Rape has become business to earn money  <user> #MenToo <url>,1
134,<user> <user> <user> <user> You need a house vote to start impeachment hearings my dude. Step… <url>,1
135,#StartForLife (left 2 pamphlets NHS) vs #ChangeForLife (right 2 #sugartax) No Added Sugar (NAS) = Artificial SWEETE… <url>,1
136,<user>: @ stan accounts who treat their mutuals like fans  <url>,1
137,<user>: Spoke to <user> Kevin McCarthy about the earthquakes in California and informed him that we will be working very c…,1
138,<user>: remember when the boys were whining because they didn't want to sleep in separate rooms #KeepHoldingOniKON <url>…,1
